country,year,co2,co2_per_capita,gdp,population,iso_code,pm2_5,latitude,longitude,temperature,code,region,income_group,lending category
Afghanistan,1990,2.024,0.168,13065984000.0,12045664.0,AFG,,,,0.61,AFG,South Asia,Low Income,IDA
Afghanistan,1991,1.914,0.156,12047362048.0,12238879.0,AFG,,,,0.52,AFG,South Asia,Low Income,IDA
Afghanistan,1992,1.482,0.112,12677539840.0,13278982.0,AFG,,,,0.3,AFG,South Asia,Low Income,IDA
Afghanistan,1993,1.487,0.1,9834582016.0,14943174.0,AFG,,,,0.32,AFG,South Asia,Low Income,IDA
Afghanistan,1994,1.454,0.089,7919856640.0,16250799.0,AFG,,,,0.4,AFG,South Asia,Low Income,IDA
Afghanistan,1995,1.417,0.083,12307525632.0,17065836.0,AFG,,,,0.5,AFG,South Asia,Low Income,IDA
Afghanistan,1996,1.37,0.077,12070125568.0,17763265.0,AFG,,,,0.34,AFG,South Asia,Low Income,IDA
Afghanistan,1997,1.304,0.071,11850753024.0,18452100.0,AFG,,,,0.39,AFG,South Asia,Low Income,IDA
Afghanistan,1998,1.279,0.067,11692171264.0,19159996.0,AFG,,,,0.72,AFG,South Asia,Low Income,IDA
Afghanistan,1999,1.092,0.055,11517316096.0,19887791.0,AFG,,,,0.36,AFG,South Asia,Low Income,IDA
Afghanistan,2000,1.047,0.052,11283793920.0,20130334.0,AFG,,,,0.59,AFG,South Asia,Low Income,IDA
Afghanistan,2001,1.069,0.053,11021273088.0,20284303.0,AFG,,,,0.53,AFG,South Asia,Low Income,IDA
Afghanistan,2002,1.341,0.063,18804871168.0,21378123.0,AFG,,,,0.56,AFG,South Asia,Low Income,IDA
Afghanistan,2003,1.56,0.069,21074343936.0,22733054.0,AFG,,,,0.57,AFG,South Asia,Low Income,IDA
Afghanistan,2004,1.237,0.053,22332569600.0,23560656.0,AFG,,,,0.62,AFG,South Asia,Low Income,IDA
Afghanistan,2005,1.89,0.077,25397686272.0,24404574.0,AFG,,,,0.69,AFG,South Asia,Low Income,IDA
Afghanistan,2006,2.159,0.085,28704399360.0,25424100.0,AFG,,,,0.55,AFG,South Asia,Low Income,IDA
Afghanistan,2007,2.8,0.108,34507530240.0,25909852.0,AFG,,,,0.78,AFG,South Asia,Low Income,IDA
Afghanistan,2008,4.254,0.161,36561043456.0,26482629.0,AFG,,,,0.52,AFG,South Asia,Low Income,IDA
Afghanistan,2009,6.392,0.233,44358721536.0,27466101.0,AFG,,,,0.58,AFG,South Asia,Low Income,IDA
Afghanistan,2010,8.365,0.296,47399424000.0,28284088.0,AFG,,,,0.88,AFG,South Asia,Low Income,IDA
Afghanistan,2011,11.838,0.403,53326336000.0,29347709.0,AFG,,,,0.67,AFG,South Asia,Low Income,IDA
Afghanistan,2012,10.035,0.328,59166900224.0,30560036.0,AFG,,,,0.72,AFG,South Asia,Low Income,IDA
Afghanistan,2013,9.229,0.292,62993698816.0,31622708.0,AFG,,,,0.6,AFG,South Asia,Low Income,IDA
Afghanistan,2014,9.086,0.277,64346107904.0,32792527.0,AFG,,,,0.79,AFG,South Asia,Low Income,IDA
Afghanistan,2015,9.67,0.286,62783393792.0,33831765.0,AFG,,,,0.82,AFG,South Asia,Low Income,IDA
Afghanistan,2016,8.906,0.257,64372215808.0,34700614.0,AFG,,,,1.14,AFG,South Asia,Low Income,IDA
Afghanistan,2017,9.677,0.271,65169281024.0,35688942.0,AFG,,,,0.95,AFG,South Asia,Low Income,IDA
Afghanistan,2018,10.602,0.289,65996738560.0,36743040.0,AFG,,,,0.91,AFG,South Asia,Low Income,IDA
Afghanistan,2019,10.825,0.286,73085706240.0,37856126.0,AFG,119.774,34.53581,69.19051,1.05,AFG,South Asia,Low Income,IDA
Afghanistan,2020,11.606,0.297,71417708544.0,39068978.0,AFG,,,,1.14,AFG,South Asia,Low Income,IDA
Afghanistan,2021,10.272,0.257,56638849024.0,40000411.0,AFG,,,,0.8,AFG,South Asia,Low Income,IDA
Afghanistan,2022,10.558,0.26,53303472128.0,40578846.0,AFG,,,,0.89,AFG,South Asia,Low Income,IDA
Afghanistan,2023,11.02,0.266,,41454762.0,AFG,,,,0.99,AFG,South Asia,Low Income,IDA
Africa,1990,658.344,1.024,,643775320.0,,,,,0.61,,,,
Africa,1991,687.67,1.042,,661103806.0,,,,,0.52,,,,
Africa,1992,666.66,0.984,,678558076.0,,,,,0.3,,,,
Africa,1993,706.442,1.016,,696621727.0,,,,,0.32,,,,
Africa,1994,790.234,1.108,,714502658.0,,,,,0.4,,,,
Africa,1995,844.549,1.154,,732695476.0,,,,,0.5,,,,
Africa,1996,872.284,1.162,,751473728.0,,,,,0.34,,,,
Africa,1997,893.938,1.162,,770384702.0,,,,,0.39,,,,
Africa,1998,912.482,1.157,,789981698.0,,,,,0.72,,,,
Africa,1999,899.879,1.112,,810079818.0,,,,,0.36,,,,
Africa,2000,930.851,1.122,,830582806.0,,,,,0.59,,,,
Africa,2001,920.602,1.082,,851690329.0,,,,,0.53,,,,
Africa,2002,899.996,1.032,,873411364.0,,,,,0.56,,,,
Africa,2003,989.645,1.106,,895734453.0,,,,,0.57,,,,
Africa,2004,1045.726,1.14,,918778450.0,,,,,0.62,,,,
Africa,2005,1059.372,1.126,,942546623.0,,,,,0.69,,,,
Africa,2006,1091.176,1.13,,966932346.0,,,,,0.55,,,,
